method,alpha,judge_score,perplexity,perplexity_delta
Diff_of_Means_Baseline,-4.0,0.17083333333333336,6.536666666666666,-0.45999999999999996
Diff_of_Means_Baseline,0.0,0.15919999999999998,8.036666666666667,1.0433333333333332
Diff_of_Means_Baseline,4.0,0.13849999999999998,6.946666666666666,-0.04999999999999997
SAE_Feature,-4.0,0.11746666666666666,8.406666666666666,1.4100000000000001
SAE_Feature,0.0,0.1536,6.996666666666667,0.0
SAE_Feature,4.0,0.14153333333333334,10.213333333333333,3.2133333333333334
